method,rmse,mae,mape,r2
CalendarFeatureFedAvg-Full,77969.09478083727,67758.03024744027,3.695844674916038,-0.016434132858668
CalendarFeatureFedAvg-Full+LocalFT,53756.2886927965,40475.81552901024,2.260228469092766,0.4246026057127213
CalendarProfileNaive,31970.080176843843,22564.48253079268,1.255051219900316,0.8262446892554772
CentralizedUpperBound,44819.17712807493,30325.990358361774,1.667705757154049,0.6309897430829025
DailySeasonalNaive,46788.63937201542,30470.96501706485,1.6773350086768246,0.5831637957312428
FedAvg,82523.94646304089,68055.80550341296,3.805813767936691,-0.4430074478934349
FedAvg+LocalFT,55772.684189232925,40836.5752559727,2.283067991304798,0.409741707994172
FedProx,72304.24275570731,59688.61194539249,3.30298789952064,0.0325137828519545
FedProx+LocalFT,55536.57728501811,40106.29594709897,2.253950620715837,0.396646543918893
Independent,61880.825353996086,47528.836134812285,2.66228297460482,0.3048458424786828
NaiveLastValue,94259.03463125858,69687.98920648465,3.821746901001749,-0.3731272275365432
RandomInit+LocalFT,76284.41269930075,62771.93903583618,3.5076161538917403,0.0485758308009652
WeeklySeasonalNaive,52474.09824730251,35897.3109215017,1.994010829724143,0.3893777609017921
