method,metric,mean,std,cv,min,max,count
FedAvg,mse,1212888068589.3557,844733348694.5692,0.6964643898896893,26553489075.675125,1927790089145.114,3
FedAvg,rmse,949738.3360157193,557570.7683258229,0.5870783006032037,162952.4135312979,1388448.806814682,3
FedAvg,mae,944681.8014685026,560297.5830621854,0.5931072051893092,154112.5794418354,1386337.7534814503,3
FedAvg,mape,99.99977065025507,0.0002643199733226378,2.643205795412128e-06,99.99939684903083,99.99995898474914,3
FedAvg,smape,199.99908261299024,0.001057263068048097,5.286339588336822e-06,199.997587431888,199.99983593906404,3
FedAvg,r2,-163.21427771734727,130.68489465491737,0.8006952362417463,-328.10232088555756,-8.473904554693622,3
Independent,mse,1212888279191.9963,844733476611.257,0.6964643744220224,26553481222.46447,1927790143742.4104,3
Independent,rmse,949738.4096717896,557570.8317210436,0.5870783218230889,162952.38943465808,1388448.8264759383,3
Independent,mae,944681.8738209155,560297.6486772792,0.5931072292210569,154112.55071304366,1386337.7731252376,3
Independent,mape,99.99976172439075,0.0002904521519278368,2.9045284400612046e-06,99.99935103515696,99.99997373562424,3
Independent,smape,199.9990469120884,0.00116178813320882,5.808968348331658e-06,199.99740418411326,199.9998949425248,3
Independent,r2,-163.21429772903673,130.6848982956164,0.8006951603748305,-328.1023302061247,-8.473901752780549,3
