mechanism,impute_method,missing_rate,mae_mean,mae_std,rmse_mean,rmse_std,mape_mean,mape_std,rows
mcar_point,forward_fill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
mcar_point,forward_fill,0.05,882.7466204437255,147.247200247216,1227.8326323163146,237.80631583539673,47.6974296060033,49.54857075924245,50
mcar_point,forward_fill,0.1,883.6221988674163,112.76901495985726,1209.3052627020554,170.3551829772984,60.04035082709167,57.244648586894186,50
mcar_point,forward_fill,0.2,881.7607657417298,68.10041234541396,1242.7169131481317,137.55748220624747,54.09815452370046,38.035393030244805,50
mcar_point,forward_fill,0.3,884.4085329538981,65.73911493916471,1240.8013315277437,118.92881261280269,50.75675797188088,23.8454643203399,50
mcar_point,linear_interpolation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
mcar_point,linear_interpolation,0.05,1141.338043826294,227.431889129751,1567.627302730436,315.56011277344794,78.48221261967407,96.0263257212838,50
mcar_point,linear_interpolation,0.1,1075.5677285240172,132.82789337938777,1485.2384679886727,169.54970969654048,84.46618539906473,68.20675648514172,50
mcar_point,linear_interpolation,0.2,1101.5828513938905,86.6012103954032,1535.6929636759683,113.02663833722484,81.76521207232474,55.42297138715539,50
mcar_point,linear_interpolation,0.3,1102.0568580206555,77.83810498187884,1532.9940244125908,103.73606322246872,75.56443727067466,34.116239958437134,50
mcar_point,zero_fill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50
mcar_point,zero_fill,0.05,2161.403979067993,172.17155273394823,2437.730228165423,217.951411438226,100.0,0.0,50
mcar_point,zero_fill,0.1,2122.3369335056304,163.7183441469304,2401.430835014883,185.5940682435512,100.0,0.0,50
mcar_point,zero_fill,0.2,2164.531182500458,93.62457363037194,2447.6723262179203,118.51660550868574,100.0,0.0,50
mcar_point,zero_fill,0.3,2163.0813691619874,97.0596797029136,2448.517197683466,114.32348991649685,100.0,0.0,50
