Client,Method,MSE,RMSE,MAE,Distribution_Type,Traffic_Pattern,Sample_Size,Noise_Level
Client 0,CNN-FedAvg,5414.1201171875,73.5807047886027,73.39706420898438,normal,平稳通勤型,600,2.0
Client 0,Independent,1579.23681640625,39.7396125793457,39.59138870239258,normal,平稳通勤型,600,2.0
Client 1,CNN-FedAvg,3587.603271484375,59.896604841045665,58.982032775878906,student-t,波动型,500,5.0
Client 1,Independent,981.221923828125,31.324462890625,30.877092361450195,student-t,波动型,500,5.0
Client 2,CNN-FedAvg,7065.18212890625,84.05463775965161,83.38233947753906,chi-square,偏态高流量型,700,8.0
Client 2,Independent,1997.46435546875,44.69300079345703,43.574886322021484,chi-square,偏态高流量型,700,8.0
Client 3,CNN-FedAvg,4105.04052734375,64.07059019038103,63.06088638305664,gaussian_mixture,双峰型,550,4.0
Client 3,Independent,1449.560302734375,38.07309341430664,37.199302673339844,gaussian_mixture,双峰型,550,4.0
Client 4,CNN-FedAvg,1732.4996337890625,41.623306377425884,40.74333572387695,log_normal,突发拥堵型,450,6.0
Client 4,Independent,308.68408203125,17.569408416748047,14.058293342590332,log_normal,突发拥堵型,450,6.0
