Round,Client_0,Client_1,Client_2,Client_3,Client_4
1,6578.314663531909,4590.409063430059,9104.28360200264,5335.305036272322,1252.6125835891096
2,6282.606963325161,4347.042268469888,8758.62709263393,5069.777064732143,1157.1902907738775
3,5999.61678383892,4112.399333366159,8425.755668778294,4817.2850964604595,1066.8081288426558
4,5735.693387962895,3894.544582676821,8114.920389524648,4582.129583864796,983.3787016779739
5,5492.020476937573,3694.228690695028,7827.803634305835,4365.402752311862,909.8949815738275
6,5269.865259532347,3512.3321652879904,7565.616038025025,4168.226961096939,842.0217831297691
7,5067.809317595506,3347.576775045956,7326.6006655165365,3989.2975227200254,783.5095118173161
8,4884.458738519102,3198.7048250941,7109.156698000503,3827.310975366709,733.5608705319232
9,4718.5579956912325,3064.569530155812,6911.904260524082,3681.0840292171556,690.3800372011173
10,4568.769667328381,2943.959753041842,6733.356205592932,3549.360909598214,656.1052012947035
11,4436.160172259221,2837.5713547137607,6574.942929058728,3432.9805185746172,618.0356590318383
12,4315.786889819965,2741.371676404937,6430.8069520639465,3327.566142179528,593.7783207863754
13,4209.276377479142,2656.527852547269,6303.02347679829,3234.4591039540815,563.6112551481827
14,4112.379282466701,2579.6110491071427,6186.521880305269,3149.9175153459823,540.7774806052262
15,4025.7670338114754,2511.062025396096,6082.199654961016,3074.4734036192604,521.5083070364058
16,3947.5596972427547,2449.350629705007,5987.826634612362,3006.4624272560586,502.6043433906129
17,3877.6300932194085,2394.313525800945,5903.313527650276,2945.7358099489797,487.65841788534794
18,3814.624339047863,2344.8491621257876,5827.049904898139,2891.0954639668366,474.3908581467149
19,3757.880252168106,2300.4050511806286,5758.268980091487,2841.9506686463646,461.99494204313856
20,3706.749507144687,2260.444164970676,5696.211917992329,2797.7188695790815,451.38408930997673
21,3660.9368516265367,2224.70818493413,5640.547315140845,2758.1290258290815,442.1580787800854
22,3619.6069450289083,2192.530025193671,5590.273849149585,2722.4502999441966,434.3818238062888
23,3582.5029697105533,2163.68989080007,5545.095992949887,2690.4480030293366,426.84286063058033
24,3549.064405097336,2137.740752746411,5504.344251053194,2661.6330416932396,420.6904130070846
25,3519.001839345177,2114.444268918505,5467.676460127956,2635.748216278699,415.7366935777368
26,3491.987715781433,2093.5363160889356,5434.701242611922,2612.50450912787,412.05744014763684
27,3467.7448930584014,2074.7925091911766,5405.087637151031,2591.656608737245,408.5715151958584
28,3445.966874062317,2057.971901260504,5378.467879542883,2572.9364935427297,405.1108239215353
29,3426.3788616528836,2042.8575217196253,5354.51335454131,2556.106370575574,402.02249202372866
30,3408.7481046225485,2029.2656899673932,5332.943056778169,2540.9667321029974,399.4516800590183
