seed,graph_type,method,client_id,mse,rmse,mae
42,fixed_adjacency,GCN-FedAvg,0,6.978175640106201,2.641623674959437,2.0916407108306885
42,fixed_adjacency,GCN-FedAvg,1,20.35816764831543,4.512002620601569,3.7019975185394287
42,fixed_adjacency,GCN-FedAvg,2,89.67769622802734,9.469830844742019,7.752511501312256
42,fixed_adjacency,GCN-FedAvg,3,14.823307991027832,3.8501049324697414,2.956608295440674
42,fixed_adjacency,GCN-FedAvg,4,127.90528106689453,11.309521699298097,8.265005111694336
42,fixed_adjacency,GCN-Proposed,0,7.032612323760986,2.6519072992397352,2.1002907752990723
42,fixed_adjacency,GCN-Proposed,1,20.59169578552246,4.537807376423382,3.731076717376709
42,fixed_adjacency,GCN-Proposed,2,90.31755065917969,9.503554632829744,7.79978609085083
42,fixed_adjacency,GCN-Proposed,3,14.790809631347656,3.845882165556773,2.9677653312683105
42,fixed_adjacency,GCN-Proposed,4,126.09288024902344,11.229108613288208,8.228487968444824
42,functional_similarity_adjacency,GCN-FedAvg,0,6.920355796813965,2.6306569135510554,2.08209490776062
42,functional_similarity_adjacency,GCN-FedAvg,1,19.523649215698242,4.418557368157422,3.619004726409912
42,functional_similarity_adjacency,GCN-FedAvg,2,88.68915557861328,9.417492000453905,7.747602939605713
42,functional_similarity_adjacency,GCN-FedAvg,3,14.657238006591797,3.8284772438388344,2.9498257637023926
42,functional_similarity_adjacency,GCN-FedAvg,4,128.8362274169922,11.350604715916777,8.3466157913208
42,functional_similarity_adjacency,GCN-Proposed,0,6.914304733276367,2.6295065569943663,2.0823886394500732
42,functional_similarity_adjacency,GCN-Proposed,1,19.753917694091797,4.444537961823681,3.650744915008545
42,functional_similarity_adjacency,GCN-Proposed,2,89.35761260986328,9.452915561342081,7.772248268127441
42,functional_similarity_adjacency,GCN-Proposed,3,14.760244369506836,3.8419063457490523,2.982752799987793
42,functional_similarity_adjacency,GCN-Proposed,4,125.44807434082031,11.200360455843388,8.246665000915527
42,congestion_delay_adjacency,GCN-FedAvg,0,7.123419761657715,2.6689735408313275,2.1120760440826416
42,congestion_delay_adjacency,GCN-FedAvg,1,19.577075958251953,4.424598960160339,3.636441946029663
42,congestion_delay_adjacency,GCN-FedAvg,2,88.34529113769531,9.399217581144471,7.715879917144775
42,congestion_delay_adjacency,GCN-FedAvg,3,14.747869491577148,3.8402954953463087,2.929203987121582
42,congestion_delay_adjacency,GCN-FedAvg,4,123.8580093383789,11.129151330554317,8.084356307983398
42,congestion_delay_adjacency,GCN-Proposed,0,6.9532246589660645,2.6368967858007,2.084057092666626
42,congestion_delay_adjacency,GCN-Proposed,1,19.613624572753906,4.428727195566905,3.6453425884246826
42,congestion_delay_adjacency,GCN-Proposed,2,88.75309753417969,9.420886239318447,7.720870494842529
42,congestion_delay_adjacency,GCN-Proposed,3,14.689275741577148,3.8326590954032356,2.958137273788452
42,congestion_delay_adjacency,GCN-Proposed,4,122.21234130859375,11.054969077686005,8.052865028381348
