source_node,target_node,delay_rounds,strength
0,1,0.0,0.936707615852356
0,2,0.0,0.9373423457145691
0,3,0.0,0.945915699005127
0,4,0.0,0.9372487664222717
0,5,0.0,0.9399121403694153
0,6,0.0,0.9472603797912598
0,7,0.0,0.9525183439254761
1,0,0.0,0.936707615852356
1,2,0.0,0.9447767734527588
1,3,0.0,0.9480351805686951
1,4,0.0,0.9467634558677673
1,5,0.0,0.9481090307235718
1,6,0.0,0.9510685801506042
1,7,0.0,0.954383134841919
2,0,0.0,0.9373423457145691
2,1,0.0,0.9447767734527588
2,3,0.0,0.9515610933303833
2,4,0.0,0.9462647438049316
2,5,0.0,0.9525626301765442
2,6,0.0,0.9539512991905212
2,7,0.0,0.9531546235084534
3,0,0.0,0.945915699005127
3,1,0.0,0.9480351805686951
3,2,0.0,0.9515610933303833
3,4,0.0,0.9521668553352356
3,5,0.0,0.9527564644813538
3,6,0.0,0.9602571129798889
3,7,0.0,0.9599316716194153
4,0,0.0,0.9372487664222717
4,1,0.0,0.9467634558677673
4,2,0.0,0.9462647438049316
4,3,0.0,0.9521668553352356
4,5,0.0,0.9521365165710449
4,6,0.0,0.9583845734596252
4,7,0.0,0.9562079310417175
5,0,0.0,0.9399121403694153
5,1,0.0,0.9481090307235718
5,2,0.0,0.9525626301765442
5,3,0.0,0.9527564644813538
5,4,0.0,0.9521365165710449
5,6,0.0,0.9584394097328186
5,7,0.0,0.9583776593208313
6,0,0.0,0.9472603797912598
6,1,0.0,0.9510685801506042
6,2,0.0,0.9539512991905212
6,3,0.0,0.9602571129798889
6,4,0.0,0.9583845734596252
6,5,0.0,0.9584394097328186
6,7,0.0,0.9588624238967896
7,0,0.0,0.9525183439254761
7,1,0.0,0.954383134841919
7,2,0.0,0.9531546235084534
7,3,0.0,0.9599316716194153
7,4,0.0,0.9562079310417175
7,5,0.0,0.9583776593208313
7,6,0.0,0.9588624238967896
